Date,Clicks,Impressions
2023-09-10,1420,40184
2023-09-11,1989,48899
2023-09-12,1951,49250
2023-09-13,1993,51198
2023-09-14,1888,47714
2023-09-15,1537,41375
2023-09-16,1078,34663
2023-09-17,1325,38775
2023-09-18,1620,45954
2023-09-19,1819,48833
2023-09-20,2005,50615
2023-09-21,1901,50327
2023-09-22,1688,45947
2023-09-23,1215,38163
2023-09-24,1466,42490
2023-09-25,1859,50734
2023-09-26,2026,53241
2023-09-27,1725,50244
2023-09-28,1731,46209
2023-09-29,1655,40760
2023-09-30,1125,33025
2023-10-01,1245,38962
2023-10-02,1760,47171
2023-10-03,2004,50917
2023-10-04,1921,50151
2023-10-05,1874,48428
2023-10-06,1532,40181
2023-10-07,1090,33054
2023-10-08,1375,37792
2023-10-09,1756,44926
2023-10-10,1939,41155
2023-10-11,1902,39346
2023-10-12,1583,39266
2023-10-13,1237,33301
2023-10-14,885,28487
2023-10-15,1180,33440
2023-10-16,1624,41688
2023-10-17,1751,40957
2023-10-18,1573,40351
